tcode,description,module,status,replacement,replacement_type,sap_reference,delta_note,review_status,source_item,source_page
ABLM_BLACKLIST,,IND-Retail,deleted,,none,"S4TWL - Product catalog (S4TWL item 13.15.48, SAP Note 2267292)",,pending,13.15.48,1343
AD02ACTV,,IND-Aerospace and Defense,deleted,,none,"S4TWL - Actual labor and costing (S4TWL item 13.1.9, SAP Note 2445654)",,pending,13.1.9,1041
AD02PRCE,,IND-Aerospace and Defense,deleted,,none,"S4TWL - Actual labor and costing (S4TWL item 13.1.9, SAP Note 2445654)",,pending,13.1.9,1041
ADAA,,IND-Aerospace and Defense,deleted,,none,"S4TWL - Actual labor and costing (S4TWL item 13.1.9, SAP Note 2445654)",,pending,13.1.9,1041
BADI_CMP_PROCESSING,,SD,deleted,,none,"S4TWL - SD Complaint Handling (S4TWL item 11.1.10, SAP Note 2267398)",,pending,11.1.10,1010
BADI_GPD_02,,IND-Aerospace and Defense,deleted,,none,"S4TWL - Obsolete transactions and Enhancements in GPD (S4TWL item 13.1.8, SAP Note 2445653)",,pending,13.1.8,1038
BADI_GPD_03,,IND-Aerospace and Defense,deleted,,none,"S4TWL - Obsolete transactions and Enhancements in GPD (S4TWL item 13.1.8, SAP Note 2445653)",,pending,13.1.8,1038
BADI_GPD_04,,IND-Aerospace and Defense,deleted,,none,"S4TWL - Obsolete transactions and Enhancements in GPD (S4TWL item 13.1.8, SAP Note 2445653)",,pending,13.1.8,1038
BADI_GPD_05,,IND-Aerospace and Defense,deleted,,none,"S4TWL - Obsolete transactions and Enhancements in GPD (S4TWL item 13.1.8, SAP Note 2445653)",,pending,13.1.8,1038
BADI_GPD_06,,IND-Aerospace and Defense,deleted,,none,"S4TWL - Obsolete transactions and Enhancements in GPD (S4TWL item 13.1.8, SAP Note 2445653)",,pending,13.1.8,1038
BADI_GPD_07,,IND-Aerospace and Defense,deleted,,none,"S4TWL - Obsolete transactions and Enhancements in GPD (S4TWL item 13.1.8, SAP Note 2445653)",,pending,13.1.8,1038
BADI_GPD_09,,IND-Aerospace and Defense,deleted,,none,"S4TWL - Obsolete transactions and Enhancements in GPD (S4TWL item 13.1.8, SAP Note 2445653)",,pending,13.1.8,1038
BADI_GPD_11,,IND-Aerospace and Defense,deleted,,none,"S4TWL - Obsolete transactions and Enhancements in GPD (S4TWL item 13.1.8, SAP Note 2445653)",,pending,13.1.8,1038
BADI_GPD_12,,IND-Aerospace and Defense,deleted,,none,"S4TWL - Obsolete transactions and Enhancements in GPD (S4TWL item 13.1.8, SAP Note 2445653)",,pending,13.1.8,1038
BADI_GPD_14,,IND-Aerospace and Defense,deleted,,none,"S4TWL - Obsolete transactions and Enhancements in GPD (S4TWL item 13.1.8, SAP Note 2445653)",,pending,13.1.8,1038
